j,Polarity,Coverage,Overlaps,Conflicts,Correct,Incorrect,Emp. Acc.
0,"[np.int64(0), np.int64(1)]",0.2728310502283105,0.2728310502283105,0.04794520547945205,239,0,1.0
1,"[np.int64(0), np.int64(1), np.int64(2)]",0.5821917808219178,0.5821917808219178,0.15639269406392695,507,3,0.9941176470588236
2,"[np.int64(0), np.int64(1), np.int64(2)]",0.708904109589041,0.708904109589041,0.2237442922374429,612,9,0.9855072463768115
3,"[np.int64(0), np.int64(1), np.int64(2)]",1.0,0.9714611872146118,0.4018264840182648,785,91,0.8961187214611872
4,[np.int64(0)],0.2454337899543379,0.2454337899543379,0.07876712328767123,164,51,0.7627906976744185
5,[np.int64(1)],0.21232876712328766,0.21232876712328766,0.1358447488584475,138,48,0.7419354838709677
6,[np.int64(2)],0.17579908675799086,0.17579908675799086,0.10159817351598173,104,50,0.6753246753246753
7,[np.int64(0)],0.06963470319634703,0.06963470319634703,0.0319634703196347,42,19,0.6885245901639344
8,[np.int64(1)],0.09703196347031963,0.09703196347031963,0.05365296803652968,53,32,0.6235294117647059
9,[np.int64(2)],0.2773972602739726,0.2773972602739726,0.15639269406392695,153,90,0.6296296296296297
10,"[np.int64(0), np.int64(2)]",0.5034246575342466,0.5034246575342466,0.2796803652968037,221,220,0.5011337868480725
11,[np.int64(2)],0.005707762557077625,0.005707762557077625,0.001141552511415525,5,0,1.0
